,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,VR_fail,default,black,DATA,1.0,nominal,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_Data_Run2.root,MXvsMY_VR_fail__nominal,Data_Run2,Data,,,,,,
1,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,lumi_13TeV_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,1.01,,lnN,,
2,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_pileup_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV.root,MXvsMY_VR_fail__Pileup_up,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Up,Pileup
3,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_pileup_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV.root,MXvsMY_VR_fail__Pileup_down,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Down,Pileup
4,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_res_j_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JER_up.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Up,JER
5,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_res_j_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JER_down.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Down,JER
6,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_scale_j_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JES_up.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Up,JES
7,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_scale_j_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JES_down.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Down,JES
8,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_scale_jm_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JMS_up.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Up,JMS
9,NMSSM-XHY-1800-1200_16APV,VR_fail,default,black,SIGNAL,1.0,CMS_scale_jm_2016,root://cmseos.fnal.gov//store/user/ammitra/XHYbbWW/selection/XHYbbWWselection_NMSSM-XHY-1800-1200_16APV_JMS_down.root,MXvsMY_VR_fail__nominal,NMSSM-XHY-1800-1200_16APV,NMSSM,,,1.0,shapes,Down,JMS
