,MX,MY,Limit (fb)
0,3500.0,600.0,0.5390625
1,3500.0,900.0,0.181640625
2,3500.0,1200.0,0.220703125
3,3500.0,1600.0,0.2080078125
4,3500.0,2200.0,0.2490234375
5,3500.0,2800.0,0.40625
6,3000.0,70.0,17.875
7,3000.0,150.0,206.5
8,3000.0,400.0,6.5
9,3000.0,600.0,0.462890625
10,3000.0,900.0,0.322265625
11,3000.0,1600.0,0.353515625
12,3000.0,2200.0,0.439453125
13,3000.0,2600.0,1.4921875
14,2800.0,70.0,19.3125
15,2800.0,100.0,20.71875
16,2800.0,190.0,419.5
17,2800.0,350.0,16.9375
18,2800.0,600.0,0.5703125
19,2800.0,1000.0,0.76171875
20,2800.0,1400.0,0.734375
21,2800.0,2200.0,0.60546875
22,1800.0,1200.0,1.6328124701976776
23,1800.0,1200.0,1.6357421875
24,4000.0,60.0,72.125
25,4000.0,70.0,50.375
26,4000.0,80.0,45.625
27,4000.0,90.0,42.875
28,4000.0,100.0,43.375
29,4000.0,125.0,337.5
30,4000.0,190.0,1000.0
31,4000.0,300.0,187.0
32,4000.0,500.0,3.53125
33,4000.0,700.0,0.482421875
34,4000.0,900.0,0.20703125
35,4000.0,1100.0,0.2705078125
36,4000.0,1300.0,0.255859375
37,4000.0,1600.0,0.24609375
38,4000.0,2000.0,0.318359375
39,4000.0,2400.0,0.287109375
40,4000.0,2600.0,0.3046875
41,3500.0,60.0,33.875
42,3500.0,70.0,22.5625
43,3500.0,90.0,20.75
44,3500.0,125.0,157.25
45,3500.0,190.0,661.0
46,3500.0,300.0,78.0
47,3500.0,400.0,7.90625
48,3500.0,500.0,1.8203125
49,3500.0,800.0,0.189453125
50,3500.0,1100.0,0.23046875
51,3500.0,1400.0,0.2470703125
52,3500.0,2000.0,0.2744140625
53,3500.0,2500.0,0.27734375
54,3000.0,60.0,27.0625
55,3000.0,90.0,17.375
56,3000.0,125.0,123.5
57,3000.0,300.0,55.6875
58,3000.0,450.0,2.984375
59,3000.0,700.0,0.337890625
60,3000.0,1000.0,0.431640625
61,3000.0,1300.0,0.392578125
62,3000.0,1800.0,0.376953125
63,3000.0,2400.0,0.591796875
64,3000.0,2800.0,264.0
65,2800.0,80.0,18.5625
66,2800.0,125.0,123.25
67,2800.0,250.0,237.5
68,2800.0,400.0,6.9375
69,2800.0,700.0,0.470703125
70,2800.0,1100.0,0.66796875
71,2800.0,1600.0,0.609375
72,2800.0,2400.0,1.5078125
73,4000.0,150.0,703.0
74,4000.0,250.0,871.0
75,4000.0,350.0,42.625
76,4000.0,450.0,6.90625
77,4000.0,600.0,1.0703125
78,4000.0,800.0,0.255859375
79,4000.0,1000.0,0.27734375
80,4000.0,1200.0,0.259765625
81,4000.0,1400.0,0.2861328125
82,4000.0,1800.0,0.240234375
83,4000.0,2200.0,0.2841796875
84,4000.0,2200.0,0.28437501192092896
85,4000.0,2500.0,0.294921875
86,4000.0,2800.0,0.3583984375
87,3500.0,80.0,19.9375
88,3500.0,100.0,23.25
89,3500.0,150.0,390.75
90,3500.0,250.0,436.5
91,3500.0,350.0,21.21875
92,3500.0,450.0,3.546875
93,3500.0,700.0,0.2451171875
94,3500.0,1300.0,0.2197265625
95,3500.0,1800.0,0.2080078125
96,3500.0,2400.0,0.263671875
97,3500.0,2600.0,0.3037109375
98,3000.0,80.0,17.4375
99,3000.0,100.0,19.4375
100,3000.0,190.0,460.5
101,3000.0,800.0,0.318359375
102,3000.0,1100.0,0.40234375
103,3000.0,2000.0,0.44921875
104,3000.0,2500.0,0.7890625
105,2800.0,60.0,28.96875
106,2800.0,90.0,18.25
107,2800.0,150.0,223.75
108,2800.0,450.0,2.921875
109,2800.0,800.0,0.49609375
110,2800.0,1200.0,0.646484375
111,2800.0,1800.0,0.638671875
112,2600.0,60.0,36.4375
113,2800.0,500.0,1.59375
114,2800.0,900.0,0.52734375
115,2800.0,1300.0,0.642578125
116,2800.0,2000.0,0.58203125
117,2800.0,2500.0,63.18750000000001
118,2800.0,2600.0,381.75
119,2600.0,70.0,25.5
120,2600.0,80.0,24.0625
