,MX,MY,Limit (fb)
0,3500.0,600.0,0.8639965057373047
1,3500.0,900.0,0.2872253656387329
2,3500.0,1200.0,0.31947967410087585
3,3500.0,1600.0,0.2979254424571991
4,3500.0,2200.0,0.35360202193260193
5,3500.0,2800.0,0.5662879347801208
6,3000.0,400.0,10.17161750793457
7,3000.0,600.0,0.7564199566841125
8,3000.0,900.0,0.5171836614608765
9,3000.0,1600.0,0.5095498561859131
10,3000.0,2200.0,0.6137195825576782
11,3000.0,2600.0,2.0576159954071045
12,2800.0,350.0,26.144380569458008
13,2800.0,600.0,0.8871397972106934
14,2800.0,1000.0,1.2002065181732178
15,2800.0,1400.0,1.1421191692352295
16,2800.0,2200.0,0.8850961327552795
17,1800.0,1200.0,2.413255423307419
18,4000.0,300.0,278.9004211425781
19,4000.0,500.0,5.443337917327881
20,4000.0,700.0,0.7510154247283936
21,4000.0,900.0,0.3265867829322815
22,4000.0,1100.0,0.39347296953201294
23,4000.0,1300.0,0.3723185062408447
24,4000.0,1600.0,0.35315239429473877
25,4000.0,2000.0,0.44684669375419617
26,4000.0,2400.0,0.4174480438232422
27,4000.0,2600.0,0.4453219175338745
28,3500.0,300.0,114.02468872070312
29,3500.0,400.0,12.301000595092773
30,3500.0,500.0,2.8657243251800537
31,3500.0,800.0,0.29451003670692444
32,3500.0,1100.0,0.3327632248401642
33,3500.0,1400.0,0.3496140241622925
34,3500.0,2000.0,0.3800874352455139
35,3500.0,2500.0,0.39031529426574707
36,3000.0,300.0,83.64971923828125
37,3000.0,450.0,4.615692138671875
38,3000.0,700.0,0.5333049893379211
39,3000.0,1000.0,0.6439021825790405
40,3000.0,1300.0,0.5843793153762817
41,3000.0,1800.0,0.5395658612251282
42,3000.0,2400.0,0.8225370049476624
43,3000.0,2800.0,322.71466064453125
44,2800.0,400.0,10.66602611541748
45,2800.0,700.0,0.7415284514427185
46,2800.0,1100.0,1.033421516418457
47,2800.0,1600.0,0.8782210350036621
48,2800.0,2400.0,2.198871374130249
49,4000.0,350.0,63.8757438659668
50,4000.0,450.0,10.698497772216797
51,4000.0,600.0,1.6940757036209106
52,4000.0,800.0,0.3963204026222229
53,4000.0,1000.0,0.4043719172477722
54,4000.0,1200.0,0.3779596984386444
55,4000.0,1400.0,0.4091341495513916
56,4000.0,1800.0,0.34301522374153137
